Nome,Frabricante,Serial,Status,Entidade
CHROMEBOOK,122,09WZ9QAT836352,1,1
CHROMEBOOK,122,09WZ9QAT836354,1,1
CHROMEBOOK,122,09WZ9QAT835552,1,131
CHROMEBOOK,122,09WZ9QAT836359,1,1
CHROMEBOOK,122,09WZ9QAT836360,1,1
CHROMEBOOK,122,09WZ9QAT836361,1,1
CHROMEBOOK,122,09WZ9QAT836362,1,1
CHROMEBOOK,122,09WZ9QAT836369,1,1
CHROMEBOOK,122,09WZ9QAT833775,1,131
CHROMEBOOK,122,09WZ9QAT836381,1,131
CHROMEBOOK,122,09WZ9QAT836371,1,1
CHROMEBOOK,122,09WZ9QAT835553,1,131
CHROMEBOOK,122,09WZ9QAT836376,1,1
CHROMEBOOK,122,09WZ9QAT836377,1,1
CHROMEBOOK,122,09WZ9QAT836379,1,1
CHROMEBOOK,122,09WZ9QAT836380,1,1
CHROMEBOOK,122,09WZ9QAT835382,1,131
CHROMEBOOK,122,09WZ9QAT836384,1,1
CHROMEBOOK,122,09WZ9QAT836386,1,1
CHROMEBOOK,122,09WZ9QAT836437,1,131
CHROMEBOOK,122,09WZ9QAT836382,1,131
CHROMEBOOK,122,09WZ9QAT836188,1,131
CHROMEBOOK,122,09WZ9QAT836388,1,1
CHROMEBOOK,122,09WZ9QAT836390,1,1
CHROMEBOOK,122,09WZ9QAT836391,1,1
CHROMEBOOK,122,09WZ9QAT836393,1,1
CHROMEBOOK,122,09WZ9QAT836401,1,1
CHROMEBOOK,122,09WZ9QAT836399,1,131
CHROMEBOOK,122,09WZ9QAT836421,1,131
CHROMEBOOK,122,09WZ9QAT836403,1,1
CHROMEBOOK,122,09WZ9QAT836404,1,1
CHROMEBOOK,122,09WZ9QAT836405,1,1
CHROMEBOOK,122,09WZ9QAT836407,1,1
CHROMEBOOK,122,09WZ9QAT836171,1,131
CHROMEBOOK,122,09WZ9QAT836408,1,1
CHROMEBOOK,122,09WZ9QAT836387,1,131
CHROMEBOOK,122,09WZ9QAT836340,1,131
CHROMEBOOK,122,09WZ9QAT836412,1,1
CHROMEBOOK,122,09WZ9QAT836413,1,1
CHROMEBOOK,122,09WZ9QAT836417,1,1
CHROMEBOOK,122,09WZ9QAT835380,1,131
CHROMEBOOK,122,09WZ9QAT836419,1,1
CHROMEBOOK,122,09WZ9QAT836425,1,1
CHROMEBOOK,122,09WZ9QAT836427,1,1
CHROMEBOOK,122,09WZ9QAT836431,1,1
CHROMEBOOK,122,09WZ9QAT836432,1,1
CHROMEBOOK,122,09WZ9QAT836409,1,131
CHROMEBOOK,122,09WZ9QAT836433,1,1
CHROMEBOOK,122,09WZ9QAT833332,1,131
CHROMEBOOK,122,09WZ9QAT836434,1,1
CHROMEBOOK,122,09WZ9QAT836434,1,1
CHROMEBOOK,122,09WZ9QAT835387,1,131
CHROMEBOOK,122,09WZ9QAT836436,1,1
CHROMEBOOK,122,09WZ9QAT836424,1,131
CHROMEBOOK,122,09WZ9QAT836438,1,1
CHROMEBOOK,122,09X09QAT802284,1,131
CHROMEBOOK,122,09X09QAT801669,1,1
CHROMEBOOK,122,09X09QAT801884,1,1
CHROMEBOOK,122,09X09QAT801938,1,1
CHROMEBOOK,122,09X09QAT801956,1,1
CHROMEBOOK,122,09X09QAT802000,1,1
CHROMEBOOK,122,09X09QAT802065,1,1
CHROMEBOOK,122,09X09QAT802159,1,1
CHROMEBOOK,122,09X09QAT802204,1,1
CHROMEBOOK,122,09X09QAT914360,1,131
CHROMEBOOK,122,09X09QAT905730,1,1
CHROMEBOOK,122,09X09QAT907225,1,1
CHROMEBOOK,122,09X09QAT913831,1,1
CHROMEBOOK,122,09X09QAT801578,1,131
CHROMEBOOK,122,09X09QAT914119,1,1
CHROMEBOOK,122,09X09QAT906829,1,131
CHROMEBOOK,122,09X09QAT907035,1,131
CHROMEBOOK,122,09X09QAT914397,1,1
CHROMEBOOK,122,09X09QAT914441,1,1
CHROMEBOOK,122,09X09QAT906935,1,131
CHROMEBOOK,122,09X09QBTC04266,1,131
CHROMEBOOK,122,09X09QAT914586,1,1
CHROMEBOOK,122,09X09QAT914596,1,1
CHROMEBOOK,122,09X09QBTC04898,1,1
CHROMEBOOK,122,09X09QBTC04920,1,1
CHROMEBOOK,122,09X09QBTC05504,1,1
CHROMEBOOK,122,09X09QCT906112,1,131
CHROMEBOOK,122,09X09QBTC06380,1,1
CHROMEBOOK,122,09X09QAT914093,1,131
CHROMEBOOK,122,09X09QCT906138,1,1
CHROMEBOOK,122,09X09QAT836186,1,131
